epoch,step,loss,lr
0,0,242.575745,1e-05
0,1,220.917831,1e-05
0,2,172.620407,1e-05
0,3,192.354294,1e-05
0,4,550.638855,1e-05
0,5,309.047089,1e-05
0,6,225.19101,1e-05
0,7,343.994446,1e-05
0,8,140.978928,1e-05
0,9,424.599304,1e-05
0,10,275.534821,1e-05
0,11,472.338074,1e-05
0,12,196.089615,1e-05
0,13,388.824646,1e-05
0,14,447.755371,1e-05
0,15,169.2668,1e-05
0,16,463.107422,1e-05
0,17,437.747589,1e-05
0,18,465.178162,1e-05
0,19,304.255188,1e-05
0,20,309.175964,1e-05
0,21,264.48703,1e-05
0,22,146.14679,1e-05
0,23,224.383331,1e-05
0,24,354.973663,1e-05
0,25,489.034149,1e-05
0,26,516.273438,1e-05
0,27,128.697784,1e-05
0,28,198.751343,1e-05
0,29,377.085846,1e-05
0,30,359.489532,1e-05
0,31,307.359467,1e-05
0,32,315.471497,1e-05
0,33,213.7099,1e-05
0,34,205.706818,1e-05
0,35,312.342346,1e-05
0,36,388.221191,1e-05
0,37,227.887405,1e-05
0,38,141.710052,1e-05
0,39,320.763367,1e-05
0,40,297.508667,1e-05
0,41,362.526764,1e-05
0,42,310.948639,1e-05
0,43,345.956879,1e-05
0,44,243.79863,1e-05
0,45,502.361816,1e-05
0,46,409.071381,1e-05
0,47,312.443756,1e-05
0,48,177.303741,1e-05
0,49,138.77211,1e-05
0,50,370.792877,1e-05
0,51,402.552368,1e-05
0,52,210.928436,1e-05
0,53,99.810387,1e-05
0,54,273.518951,1e-05
0,55,329.712952,1e-05
0,56,160.317566,1e-05
0,57,419.323181,1e-05
0,58,184.399445,1e-05
0,59,224.069717,1e-05
0,60,172.33934,1e-05
0,61,181.793854,1e-05
0,62,273.526428,1e-05
0,63,80.033707,1e-05
0,64,200.538483,1e-05
0,65,139.005234,1e-05
0,66,245.903915,1e-05
0,67,136.074844,1e-05
0,68,290.997711,1e-05
0,69,209.214951,1e-05
0,70,413.160004,1e-05
0,71,176.230591,1e-05
0,72,287.986359,1e-05
0,73,319.312012,1e-05
0,74,441.740021,1e-05
0,75,187.952667,1e-05
0,76,137.774338,1e-05
0,77,164.554916,1e-05
0,78,260.185638,1e-05
0,79,219.201263,1e-05
0,80,242.945312,1e-05
0,81,259.394806,1e-05
0,82,137.055222,1e-05
0,83,207.191986,1e-05
0,84,251.767822,1e-05
0,85,176.674347,1e-05
0,86,305.417847,1e-05
0,87,124.379707,1e-05
0,88,247.581619,1e-05
0,89,189.21106,1e-05
0,90,234.811432,1e-05
0,91,116.21978,1e-05
0,92,361.852814,1e-05
0,93,184.891342,1e-05
0,94,228.892441,1e-05
0,95,349.243713,1e-05
0,96,120.29184,1e-05
0,97,362.362396,1e-05
0,98,220.687439,1e-05
0,99,335.427429,1e-05
0,100,130.904114,1e-05
0,101,198.207138,1e-05
0,102,98.254311,1e-05
0,103,364.90274,1e-05
0,104,198.560776,1e-05
0,105,130.619873,1e-05
0,106,250.812866,1e-05
0,107,161.424225,1e-05
0,108,212.785217,1e-05
0,109,347.646759,1e-05
0,110,180.210938,1e-05
0,111,111.739594,1e-05
0,112,262.593048,1e-05
0,113,238.187241,1e-05
0,114,316.860443,1e-05
0,115,89.077522,1e-05
0,116,441.644958,1e-05
0,117,235.540558,1e-05
0,118,153.689423,1e-05
0,119,136.00795,1e-05
0,120,156.259171,1e-05
0,121,246.920868,1e-05
0,122,289.415558,1e-05
0,123,456.785156,1e-05
0,124,330.298828,1e-05
0,125,204.357483,1e-05
0,126,70.476456,1e-05
0,127,202.542343,1e-05
0,128,239.944351,1e-05
0,129,160.032349,1e-05
0,130,133.323105,1e-05
0,131,154.309601,1e-05
0,132,597.463074,1e-05
0,133,297.766602,1e-05
0,134,293.352844,1e-05
0,135,127.785622,1e-05
0,136,268.189331,1e-05
0,137,190.378723,1e-05
0,138,155.287857,1e-05
0,139,185.579422,1e-05
0,140,189.748016,1e-05
0,141,162.159027,1e-05
0,142,272.118164,1e-05
0,143,408.752777,1e-05
0,144,138.922714,1e-05
0,145,111.359634,1e-05
0,146,111.142212,1e-05
0,147,113.878616,1e-05
0,148,411.626221,1e-05
0,149,177.205368,1e-05
0,150,305.602814,1e-05
0,151,92.833069,1e-05
0,152,173.759598,1e-05
0,153,129.78096,1e-05
0,154,250.261597,1e-05
0,155,229.70192,1e-05
0,156,90.596779,1e-05
0,157,123.62899,1e-05
0,158,138.263474,1e-05
0,159,117.232208,1e-05
0,160,241.006683,1e-05
0,161,121.902313,1e-05
0,162,154.297592,1e-05
0,163,205.351624,1e-05
0,164,331.361938,1e-05
0,165,196.120834,1e-05
0,166,166.094376,1e-05
0,167,193.189392,1e-05
0,168,113.247421,1e-05
0,169,297.222656,1e-05
0,170,78.64135,1e-05
0,171,312.777588,1e-05
0,172,80.726723,1e-05
0,173,243.175125,1e-05
0,174,144.615067,1e-05
0,175,104.596489,1e-05
0,176,269.655701,1e-05
0,177,269.797211,1e-05
0,178,355.013275,1e-05
0,179,223.460526,1e-05
0,180,170.011551,1e-05
0,181,182.214371,1e-05
0,182,571.966431,1e-05
0,183,100.552811,1e-05
0,184,181.155014,1e-05
0,185,248.430466,1e-05
0,186,220.451294,1e-05
0,187,161.410782,1e-05
0,188,174.785583,1e-05
0,189,120.32251,1e-05
0,190,105.927948,1e-05
0,191,320.260559,1e-05
0,192,104.77018,1e-05
0,193,89.583267,1e-05
0,194,147.701569,1e-05
0,195,137.059937,1e-05
0,196,103.426476,1e-05
0,197,261.916229,1e-05
